user_id,price_sensitivity,meal_size_preference,loyalty_status,frequent_order_time,past_orders,average_order_value,current_time,current_weather,cart_status,device_type,page_view,current_promotion,banner_shown,converted
0,Low,Large,Silver,Dinner,5,29,Dinner,Cold,Full,Mobile,Burgers,None,weather_banner,1
1,High,Medium,Silver,Dinner,12,142,Lunch,Cold,Empty,Desktop,Drinks,Free Drink Offer,loyalty_banner,0
2,Low,Medium,Regular,Breakfast,17,130,Breakfast,Rainy,Partial,Desktop,Combos,None,meal_time_banner,0
3,Low,Small,Silver,Late Night,19,44,Breakfast,Cold,Full,Desktop,Drinks,Free Drink Offer,combo_banner,0
4,High,Medium,Regular,Dinner,18,22,Late Night,Hot,Empty,Desktop,Drinks,Summer Special,combo_banner,0
5,High,Medium,Regular,Breakfast,13,90,Breakfast,Hot,Empty,Mobile,Offers,Free Drink Offer,weather_banner,1
6,Low,Large,Gold,Dinner,3,47,Late Night,Hot,Empty,Mobile,Drinks,None,weather_banner,1
7,Medium,Medium,Regular,Late Night,10,30,Dinner,Hot,Empty,Desktop,Offers,Summer Special,combo_banner,1
8,Low,Large,Silver,Dinner,14,112,Lunch,Hot,Empty,Desktop,Combos,Summer Special,loyalty_banner,0
9,Low,Medium,Silver,Dinner,8,137,Dinner,Hot,Partial,Desktop,Drinks,Free Drink Offer,weather_banner,0
10,Low,Medium,Regular,Lunch,10,143,Late Night,Cold,Partial,Desktop,Offers,Summer Special,combo_banner,1
11,Low,Medium,Gold,Lunch,2,112,Dinner,Rainy,Full,Mobile,Drinks,Free Drink Offer,meal_time_banner,1
12,High,Small,Regular,Breakfast,13,118,Lunch,Hot,Empty,Desktop,Burgers,None,weather_banner,1
13,Low,Large,Regular,Dinner,5,30,Dinner,Cold,Partial,Desktop,Burgers,Summer Special,discount_banner,0
14,Medium,Small,Silver,Breakfast,11,54,Breakfast,Cold,Partial,Mobile,Drinks,None,meal_time_banner,0
15,High,Medium,Gold,Late Night,1,27,Lunch,Hot,Empty,Desktop,Burgers,Free Drink Offer,combo_banner,1
16,Medium,Small,Gold,Breakfast,10,26,Dinner,Cold,Full,Desktop,Combos,Free Drink Offer,weather_banner,1
17,Medium,Large,Gold,Dinner,13,88,Lunch,Hot,Empty,Desktop,Burgers,None,weather_banner,0
18,Medium,Medium,Gold,Lunch,4,89,Dinner,Rainy,Full,Mobile,Combos,Free Drink Offer,loyalty_banner,1
19,Medium,Small,Silver,Lunch,10,134,Breakfast,Hot,Full,Mobile,Offers,Free Drink Offer,combo_banner,0
20,High,Small,Gold,Breakfast,12,143,Late Night,Rainy,Partial,Desktop,Combos,None,discount_banner,0
21,High,Large,Gold,Lunch,14,30,Dinner,Cold,Full,Mobile,Offers,None,combo_banner,1
22,Medium,Small,Gold,Dinner,3,110,Lunch,Cold,Partial,Desktop,Burgers,Summer Special,weather_banner,0
23,Medium,Large,Silver,Dinner,2,104,Dinner,Hot,Partial,Mobile,Offers,Summer Special,weather_banner,0
24,High,Medium,Silver,Late Night,19,68,Late Night,Cold,Empty,Desktop,Burgers,None,discount_banner,1
25,High,Medium,Gold,Lunch,11,54,Breakfast,Cold,Empty,Desktop,Offers,Summer Special,meal_time_banner,0
26,High,Small,Silver,Lunch,7,107,Breakfast,Rainy,Full,Desktop,Combos,Free Drink Offer,combo_banner,0
27,Low,Medium,Regular,Late Night,18,128,Late Night,Hot,Empty,Desktop,Drinks,Summer Special,combo_banner,1
28,Low,Medium,Gold,Breakfast,14,29,Breakfast,Hot,Empty,Desktop,Drinks,Summer Special,combo_banner,1
29,Low,Small,Silver,Late Night,7,103,Dinner,Rainy,Full,Desktop,Drinks,Free Drink Offer,loyalty_banner,1
30,Medium,Medium,Gold,Lunch,7,104,Lunch,Rainy,Empty,Mobile,Offers,None,discount_banner,0
31,Low,Small,Gold,Breakfast,9,74,Dinner,Rainy,Partial,Mobile,Drinks,Free Drink Offer,meal_time_banner,0
32,Medium,Large,Silver,Dinner,12,93,Late Night,Hot,Empty,Desktop,Burgers,Summer Special,combo_banner,1
33,Medium,Large,Regular,Dinner,6,80,Dinner,Rainy,Empty,Mobile,Burgers,Free Drink Offer,meal_time_banner,1
34,Low,Large,Gold,Late Night,7,149,Dinner,Hot,Empty,Mobile,Combos,None,meal_time_banner,0
35,Medium,Small,Regular,Dinner,4,45,Late Night,Rainy,Partial,Desktop,Offers,Summer Special,meal_time_banner,0
36,Low,Small,Silver,Lunch,16,88,Lunch,Cold,Full,Mobile,Combos,None,weather_banner,0
37,Low,Medium,Gold,Late Night,7,81,Breakfast,Hot,Partial,Mobile,Drinks,None,combo_banner,1
38,High,Medium,Silver,Lunch,8,135,Late Night,Hot,Full,Desktop,Offers,Free Drink Offer,combo_banner,0
39,Low,Medium,Silver,Lunch,8,134,Breakfast,Hot,Partial,Mobile,Combos,None,combo_banner,0
40,High,Medium,Silver,Breakfast,3,121,Breakfast,Cold,Empty,Mobile,Burgers,Free Drink Offer,discount_banner,0
41,Low,Medium,Silver,Breakfast,9,61,Late Night,Cold,Partial,Mobile,Drinks,Free Drink Offer,loyalty_banner,0
42,Low,Small,Gold,Breakfast,19,29,Lunch,Hot,Full,Mobile,Drinks,Summer Special,loyalty_banner,1
43,High,Small,Regular,Dinner,13,142,Late Night,Rainy,Empty,Mobile,Drinks,None,loyalty_banner,1
44,High,Large,Regular,Breakfast,7,38,Late Night,Hot,Full,Desktop,Combos,None,loyalty_banner,1
45,Low,Large,Gold,Lunch,15,23,Dinner,Hot,Empty,Mobile,Drinks,None,weather_banner,1
46,Medium,Large,Gold,Late Night,19,22,Dinner,Cold,Empty,Desktop,Burgers,None,discount_banner,0
47,High,Large,Regular,Late Night,2,29,Late Night,Cold,Partial,Desktop,Drinks,None,discount_banner,1
48,Medium,Small,Regular,Lunch,12,25,Dinner,Rainy,Full,Desktop,Combos,Free Drink Offer,weather_banner,0
49,Medium,Small,Gold,Dinner,8,50,Lunch,Rainy,Partial,Mobile,Combos,Summer Special,combo_banner,0
50,Medium,Small,Silver,Late Night,8,50,Dinner,Hot,Full,Desktop,Drinks,Summer Special,weather_banner,0
51,High,Medium,Gold,Lunch,13,28,Lunch,Hot,Partial,Mobile,Drinks,None,loyalty_banner,0
52,Medium,Medium,Regular,Lunch,1,127,Breakfast,Rainy,Empty,Desktop,Combos,Free Drink Offer,discount_banner,0
53,High,Large,Silver,Lunch,10,143,Breakfast,Hot,Full,Mobile,Burgers,Free Drink Offer,weather_banner,1
54,Medium,Medium,Regular,Late Night,9,149,Lunch,Hot,Full,Mobile,Burgers,None,loyalty_banner,1
55,Low,Small,Silver,Late Night,2,23,Breakfast,Rainy,Partial,Desktop,Drinks,Summer Special,loyalty_banner,0
